usage_kind,model_type,base_model,model_name,version_name,file_name,status,preview_type,preview_local,preview_url,preview_nsfw_level,preview_count,preview_image_count,preview_video_count,target,error
????,Checkpoint,Illustrious,WAI-illustrious-SDXL,v17.0,waiIllustriousSDXL_v170.safetensors,skipped,image,agent-skills\runtime\civitai_download\previews\2883731_waiIllustriousSDXL_v170.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/bf704a4b-9e7c-4651-9387-91f121b24ef3/original=true/128374653.jpeg,1,16,16,0,D:\ComfyUI-Models\checkpoints\waiIllustriousSDXL_v170.safetensors,
????,Checkpoint,Illustrious,Hassaku XL (Illustrious),v3.4,hassakuXLIllustrious_v34.safetensors,skipped,image,agent-skills\runtime\civitai_download\previews\2615702_hassakuXLIllustrious_v34.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/ea4c627d-91f2-486a-bc8f-026d316684e2/original=true/118186280.jpeg,1,9,9,0,D:\ComfyUI-Models\checkpoints\hassakuXLIllustrious_v34.safetensors,
????,Checkpoint,SDXL 1.0,PornMaster-色情大师,Pro-SDXL-V8,pornmaster_proSDXLV8.safetensors,skipped,image,agent-skills\runtime\civitai_download\previews\2551619_pornmaster_proSDXLV8.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/ba50a19e-a915-48eb-ba53-c8aa8e4ad6da/original=true/115791539.jpeg,1,20,19,1,D:\ComfyUI-Models\checkpoints\pornmaster_proSDXLV8.safetensors,
????,Checkpoint,SDXL 1.0,LUSTIFY! [SDXL NSFW checkpoint],APEX (V8),lustifySDXLNSFW_apexV8.safetensors,skipped,image,agent-skills\runtime\civitai_download\previews\2808677_lustifySDXLNSFW_apexV8.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/906d2b90-7b51-42bd-8b1a-a6c97ae6ee4c/original=true/125775674.jpeg,2,20,19,1,D:\ComfyUI-Models\checkpoints\lustifySDXLNSFW_apexV8.safetensors,
????,Checkpoint,Illustrious,Copax TimeLess,XPlus-2B-NSFW-1,copaxTimeless_xplus2BNSFW1.safetensors,skipped,image,agent-skills\runtime\civitai_download\previews\2767059_copaxTimeless_xplus2BNSFW1.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/882fd548-44c9-4f7a-9426-5c593728aadb/original=true/123958897.jpeg,2,20,20,0,D:\ComfyUI-Models\checkpoints\copaxTimeless_xplus2BNSFW1.safetensors,
????,Checkpoint,Illustrious,Prefect illustrious XL,v8,prefectIllustriousXL_v8.safetensors,downloaded,image,agent-skills\runtime\civitai_download\previews\2864868_prefectIllustriousXL_v8.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/260a4f85-af91-4ccb-85dc-577810e248d3/original=true/127755419.jpeg,1,9,9,0,D:\ComfyUI-Models\checkpoints\prefectIllustriousXL_v8.safetensors,
???,Checkpoint,Illustrious,CyberRealistic CyberIllustrious,v11.0,cyberrealistic_v110.safetensors,failed,,,,,0,,,D:\ComfyUI-Models\checkpoints\cyberrealistic_v110.safetensors,RuntimeError: download endpoint returned HTTP 401
????,Checkpoint,Illustrious,PornMaster-Pro 色情大师- Illustrious & noob,noob-v6,pornmasterPro_noobV6.safetensors,downloaded,image,agent-skills\runtime\civitai_download\previews\2531839_pornmasterPro_noobV6.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/8830ddff-4fa8-4039-966e-182a362ab9b7/original=true/114980417.jpeg,1,20,19,1,D:\ComfyUI-Models\checkpoints\pornmasterPro_noobV6.safetensors,
????,Checkpoint,Illustrious,One obsession,v21_Anime,oneObsession_v21Anime.safetensors,downloaded,image,agent-skills\runtime\civitai_download\previews\2823418_oneObsession_v21Anime.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/40fd8976-4f6e-460f-83c9-4f092319525e/original=true/126161650.jpeg,1,20,18,2,D:\ComfyUI-Models\checkpoints\oneObsession_v21Anime.safetensors,
????,Checkpoint,Wan Video 2.2 I2V-A14B,WAN 2.2 Enhanced NSFW | SVI | camera prompt adherence (Lightning Edition) I2V and T2V fp8 GGUF,NSFW FAST MOVE V2 Q8 H,wan22EnhancedNSFWSVICamera_nsfwFASTMOVEV2Q8H.gguf,downloaded,video,,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/85ea70f8-efc1-4b3e-ade1-417250a63e88/original=true/115358734.mp4,4,10,0,10,D:\ComfyUI-Models\checkpoints\wan22EnhancedNSFWSVICamera_nsfwFASTMOVEV2Q8H.gguf,
????,Checkpoint,Wan Video 2.2 T2V-A14B,Smooth Mix Wan 2.2 14B (I2V/T2V),T2V High v3.0,smoothMixWan2214BI2V_t2vHighV30.safetensors,downloaded,video,,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/a3589653-4607-4157-ac2e-f31fcdd0b2e4/original=true/124120019.mp4,1,20,0,20,D:\ComfyUI-Models\checkpoints\smoothMixWan2214BI2V_t2vHighV30.safetensors,
????,LORA,LTXV 2.3,DR34ML4Y - All-In-One NSFW (WAN/LTX2),DR34ML4Y_LT3X_PREVIEW,DR34ML4Y_LTXXX_PREVIEW_RC1.safetensors,downloaded,video,,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/8e51cb80-6139-4346-9b0f-1b2db65302ba/original=true/123508590.mp4,8,6,0,6,D:\ComfyUI-Models\loras\DR34ML4Y_LTXXX_PREVIEW_RC1.safetensors,
????,LORA,LTXV 2.3,Bouncing Boobs - LTX / Wan,LTX 2.3 V2.5,bounceV2_5_LTX23_I2V.comfy.safetensors,downloaded,video,,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/8eee7546-0b01-4ff5-819b-d8f9ef73df26/original=true/127732356.mp4,4,17,0,17,D:\ComfyUI-Models\loras\bounceV2_5_LTX23_I2V.comfy.safetensors,
????,LORA,Illustrious,MoriiMee Gothic Niji | LoRA Style,V1 Illustrious Redux,MoriiMee_Gothic_Realistic.safetensors,downloaded,image,agent-skills\runtime\civitai_download\previews\2498503_MoriiMee_Gothic_Realistic.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/f54982a3-cf7c-4564-b9d2-1dc5ea4fadec/original=true/113657313.jpeg,1,12,12,0,D:\ComfyUI-Models\loras\MoriiMee_Gothic_Realistic.safetensors,
????,LORA,Illustrious,Slingshot swimsuit [SD1.5/Pony/Illustrious],v1.1_[Illustrious],slingshotAlpha_2_Illustrious-sv_cumulative_0.8.safetensors,downloaded,image,agent-skills\runtime\civitai_download\previews\2472280_slingshotAlpha_2_Illustrious-sv_cumulative_0.8.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/b2101336-0ea1-458f-9643-596b77988df9/original=true/112706732.jpeg,4,5,5,0,D:\ComfyUI-Models\loras\slingshotAlpha_2_Illustrious-sv_cumulative_0.8.safetensors,
????,LORA,Illustrious,Bondage Suspension,v1.1_[Illustrious],suspensionNmode_Illustrious-sv_fro_0.975.safetensors,downloaded,image,agent-skills\runtime\civitai_download\previews\2813795_suspensionNmode_Illustrious-sv_fro_0.975.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/83690c31-f6a4-4b5d-be5f-16da860937ad/original=true/125759922.jpeg,4,4,4,0,D:\ComfyUI-Models\loras\suspensionNmode_Illustrious-sv_fro_0.975.safetensors,
????,LORA,Wan Video 2.2 I2V-A14B,Wan NSFW Posing Nude,WAN 2.2 i2v High Noise v2,W22_NSFW_Posing_Nude_i2v_HN_v2.safetensors,downloaded,video,,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/3077ddfa-68f7-4b40-8a92-9a28a6fc38dd/original=true/109581621.mp4,8,7,0,7,D:\ComfyUI-Models\loras\W22_NSFW_Posing_Nude_i2v_HN_v2.safetensors,
????,LORA,Illustrious,HS Style Gallery,HueSpark,HueSpark1llust.safetensors,downloaded,image,agent-skills\runtime\civitai_download\previews\2774839_HueSpark1llust.safetensors.jpeg,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/10ffe8ed-810b-4aa5-aa39-afb81929fcde/original=true/124237211.jpeg,1,20,20,0,D:\ComfyUI-Models\loras\HueSpark1llust.safetensors,
????,LORA,LTXV 2.3,BFS - Best Face Swap,LTX-2.3 -  V3 Focus Head,head_swap_v3_rank_adaptive_fro_098.safetensors,downloaded,video,,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/40c281e7-5f59-4409-a990-c70f7fe3c0a3/original=true/124599749.mp4,1,5,0,5,D:\ComfyUI-Models\loras\head_swap_v3_rank_adaptive_fro_098.safetensors,
????,LORA,Wan Video 2.2 T2V-A14B,Better Titfuck (WAN and HunYuan versions),V5.0 WAN2.2 Universal,Titjob_WAN2.2_Universal.safetensors,downloaded,video,,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/95928fc9-1fd0-49dc-bb31-174dcbb9072d/original=true/123378454.mp4,16,2,0,2,D:\ComfyUI-Models\loras\Titjob_WAN2.2_Universal.safetensors,
